id,designer,links,description
93,Chelsea_Paris,http://www.theoutnet.com/en-US/Shop/Designers/Chelsea_Paris,"There is no description available for this label, but you can still click the link to see their styles!"
94,Chinti_and_Parker,http://www.theoutnet.com/en-US/Shop/Designers/Chinti_and_Parker,"There is no description available for this label, but you can still click the link to see their styles!"
95,Chloe,http://www.theoutnet.com/en-US/Shop/Designers/Chloe,"Chloé (French pronunciation: ​[klɔe]) is a French luxury fashion house founded in 1952 by Gaby Aghion. Aghion later joined forces with Jacques Lenoir in 1953, formally managing the business side of the brand, allowing Aghion to purely pursue the creative growth of Chloé. Its headquarters are located in Paris, France. The house is owned by luxury brands holding company Richemont Group. Chloé has been worn by many celebrities, including Marion Cotillard, Sienna Miller, Madonna, January Jones, Maggie Gyllenhaal, Cameron Diaz, Emma Stone, Clémence Poésy and Katie Holmes."
96,Christian_Louboutin,http://www.theoutnet.com/en-US/Shop/Designers/Christian_Louboutin,"Christian Louboutin (French: [kʁis.tjɑ̃ lu.bu.tɛ̃]; born 7 January 1964) is a French fashion designer whose footwear has incorporated shiny, red-lacquered soles that have become his signature."
97,Christopher_Kane,http://www.theoutnet.com/en-US/Shop/Designers/Christopher_Kane,Christopher Kane (born 26 July 1982) is a Scottish fashion designer based in London whose brand is now part of Kering.
98,Churchs,http://www.theoutnet.com/en-US/Shop/Designers/Churchs,"There is no description available for this label, but you can still click the link to see their styles!"
99,Cinq_a_Sept,http://www.theoutnet.com/en-US/Shop/Designers/Cinq_a_Sept,"Cinq à sept (literally, ""five to seven""; French pronunciation [sɛ̃kasɛt]; English pronunciation /sɛŋkæˈsɛt/ sengk-a-SET) is a Quebec French term for a social gathering that takes place after work and prior to the dinner hours (roughly between 5 and 7 p.m.). It may bring together friends or colleagues or may be organized around a specific event, such as a book launch or vernissage. Wine, beer, and cocktails are served along with finger foods and other hors d'oeuvres. Such a party held later may be named for the specific time (e.g. six à huit)."
100,Clare_V,http://www.theoutnet.com/en-US/Shop/Designers/Clare_V,"There is no description available for this label, but you can still click the link to see their styles!"
101,CLU,http://www.theoutnet.com/en-US/Shop/Designers/CLU,"There is no description available for this label, but you can still click the link to see their styles!"
102,Co,http://www.theoutnet.com/en-US/Shop/Designers/Co,"There is no description available for this label, but you can still click the link to see their styles!"
